,review
136,bought godrej goldilock amazon diwali sale product got scratches already still kept wanted disable theft alarm gives loud sound even move goldilock slightly annoying tried disable feature getting disabled godrej executive also told problem pcb return product got product replaced amazon next day new product also problem cannot disable alarm also one additional problem close lid sometimes get locked attempts gets locked confused trusted godrej brand amazon satisfaction level
137,damaged product found seal broken difference quantity bottle
138,mom peculiar cosmetics use baby always try use non chemical based cosmetics baby tried called big foreign brands results average last tried himalaya baby shampoo results astonishing thr natural oil babies hairs abck normal hairs soft hardly itching eyes must buy products thr moms love babies product
139,used hair actually good times u r trouble ur hair nothingsuits ur hair falling soits better use something mild baby shampoo gives shine makes ur hair soft dont rely shampoo removing oil ur hair way mild
140,good
141,think one best product used freshens ur mood better odonil counterparts scent spreads evenly go
142,nice steel
143,amazing fragrance
144,nice gift pack packing good
145,mamaearth ubtan natural face wash one best product mama earthand suits every skin types helps removing signs tan liquorice helps repair sun damage caused exposure harsh rays sun turmeric light skin tone improves skin complection one best face wash smells also nice
146,dettol doubt good brand disinfectant liquids compare dettol original lime fragrance gives fresh feel using use floors kitchen tiles bathroom laundry shaving purpose use disinfectant liquid water covid pandemic wash products spray doors door bell surfaces etc use bathing purpose also multi purpose cleaner safe skin surfaces nice way disinfect home
147,long time searching indian soap equal usa ivory soap soap get holiday inn hotels thank cinthol
148,whilst initially cream thick subsequently content starts thinning thick milk like guess comes tins like oversea product might better consistency surely thant would higher price
149,free tiffin box provised mentioned packed expected
150,holding buying shampoo kids b c even natural shampoos tons chemicals cause dandruff hair shampoo wonderful gentle smells good scalps irritated good sensitive skin good product amazon
151,honestly using regular brown colour antiseptic liquid loved thought buy lemon scent liquid hope much good last one saw much sticky liquid add water goes like invisible dissapointed last one brown better one thumbs buy dont go reviews purchased reviews u regret u use scent thickness really dont buy dont waste ur money lemon buy brown liquid
152,good
153,watch good looks return itbecause tab ee adjust time loosed gets pressed movement watch stops work return
154,received product damaged condition come returnable category since seal broken use product
155,good buy good product best tooti frooti bought till
156,genuinely standard watch college graduate date someone interview suits scenarios bought amazon returned later getting better deal watch still even months fail impress must buy guy watch collection
157,paper boat juices excellent poor availability amazon packet received totally damaged
158,steel good quality battery awesome strap genuine leather waterproof strap please avoid water may damage long time leather
159,really started appreciating brand product made really works well best part made safe ingredients baby soap enriched goodness goat milk oatmeal shea butter coconut based cleanser skin toddler feels soft bath shape soap perfect little one hold well tears formula soap working great gentle skin fragrance amazing highly recommend moisturizing bath mommies daddies specially recommend toddlers phase want independent bath
160,nice product easy use gud colout
161,undoubtedly best cows milk ever tasted milk carton creamy delicious
162,product worst using duplicate ghee parcel mixed many things ghee threw outside hate
163,product good small wrist girls big wrist dail color good seeing product think ordered brown color dail model give watch sister like watch one want buy u go brown color although favorite color pink also trust brown good compare pink saw friend wearing watch brown color really good compare pink
164,good skin hair really appreciate suffer minor skin infections pimple acne hair fall problem go
165,ordered patangali leter pouches correct weight another less waight
166,thank amazon recommendation engine suggesting mysore sandal talc never knew mysore sandal brand talc purchased mysore sandal soap weeks back perhaps due purchase amazon would recommended well glad clicked suggestion bought one good bye existing ponds sandalwood talc review compares mysore sandal talc vis vis ponds sandalwood talcpros fragrance first thing hits soon open bottle smells pure authentic sandal wood perfumed ponds talc powder mysore sandal talc allows decide size hole want bottle ponds one forces holes soon want top cover always hated ponds talc ponds really wants use need fragrance last longer ponds sandalwood talc even though day believe try one judge reviews talk powder finely powdered nothing like powder fine ponds sandalwood talc less bottle sealed hologram sticker assurance genuine product mysore sandal somehow like press fit top bottle keep fragrance intact bottle use ponds bottle twist close top really seal tight way shutting close bottle last least mysore sandal talc cheaper ponds sandalwood earth would ever buy ponds cons none spotted yet
167,really durable products good value money got basket broken made complain since non returnable product refunded money amazon pay gave products time wasted solved problem okay
168,best instant teaoutstanding taste masala tea
169,nice flavour
170,personal feedback per preference bought watch along chaps watch found overall look functionality chaps better one dial look much attractive looks feels bulky big also big bezel steals away look although overall quality superb doubt watch titan decide urself attached couple pictures justify feedback
171,received product safe n intact first time received old dated products tea powder month older ketchup also month older ketchup used within month kg ordered sir order purchased tata tea powder two months ago product received mfg date received mfg productsloosing faith grocery order
172,mainly use spraying bugs n spiders house mixed water vinegar sometimes bath washing baby clothes safe hands overall useful product
173,like soap really good
174,way best lovely scent
175,best quality tea daily use cheap rate fast next day delivery amazon pantry
176,
177,return replaceadd tex
178,nice innovative product reckitt benckiser amazon deserves thanks available local medicine shops complaining strong original dettol antiseptic liquid comparing apples oranges scented dettol disinfectant liquid ideal baths imparting freshness washed clothes
179,gifted dad loved watch
180,though pricey quality comes price free chemicals healthy option skin gives results acne prone face days cleanses face well quantity required also less b face wash years come
